treaty_id,treaty_name,treaty_type,business_line,cedant,reinsurer,currency,territory,inception_date,expiry_date,premium,commission,brokerage,retention,limit,cession_rate,minimum_premium,maximum_premium,profit_commission,loss_corridor,aggregate_limit,reinstatements,rating_method,experience_period,loss_ratio,expense_ratio,combined_ratio
TR587398,Chubb - Quota Share 2024,Quota Share,Marine,Chubb,Munich Re,CAD,United States,2024-01-01,2024-12-31,82243846.39916937,0.27565054447130866,0.03942770954570238,0.44256001556156765,0.0,0.5574399844384323,77193149.7779245,90408707.38742599,0.09061207719954151,91%-118%,0.0,0,Exposure Rating,10 years,1.012246747693554,0.26537356387568584,1.2776203115692397
TR750820,State Farm - Excess of Loss 2024,Excess of Loss,Motor,State Farm,Lloyd's of London,USD,France,2024-01-01,2024-12-31,32790790.83641995,0.0,0.024175078876405152,1884159.9022074468,26378238.630904254,0.0,28348751.474893585,35383876.99728653,0.05485614430078834,79%-119%,0.0,0,Experience Rating,15 years,0.4947979331266886,0.3059570322079713,0.80075496533466
TR506788,AIG - Excess of Loss 2024,Excess of Loss,Health,AIG,SCOR,CAD,Canada,2024-01-01,2024-12-31,74335151.05036788,0.0,0.0481548384814244,5736831.889804644,74578814.56746037,0.0,67043700.69644163,81269396.23557676,0.0,88%-109%,0.0,0,Experience Rating,5 years,0.88311270293178,0.40289699010143576,1.2860096930332157
TR114043,State Farm - Excess of Loss 2024,Excess of Loss,Property,State Farm,Lloyd's of London,EUR,France,2024-01-01,2024-12-31,77619368.75257498,0.0,0.04371357189654675,8816954.663286712,176339093.26573426,0.0,62444719.34262629,0.0,0.0,Not Available,0.0,0,Exposure Rating,15 years,1.0681446244813322,0.2721110429114043,1.3402556673927366
TR483221,Allstate - Catastrophe 2024,Catastrophe,Casualty,Allstate,Swiss Re,CAD,France,2024-01-01,2024-12-31,85875461.48879726,0.0,0.018691779252985784,37961576.70935501,455538920.51226014,0.0,0.0,93854607.44666064,0.0,Not Available,1366616761.5367804,4,Cat Modeling,10 years,1.14149022246619,0.22747308255791387,1.368963305024104
TR729292,Allstate - Quota Share 2024,Quota Share,Aviation,Allstate,Munich Re,USD,France,2024-01-01,2024-12-31,75555108.1416728,0.24728307971970387,0.02663593720168983,0.39372266984931314,0.0,0.6062773301506869,0.0,86868319.35376944,0.0,89%-114%,0.0,0,Cat Modeling,15 years,1.0448247426966053,0.30380803452099336,1.3486327772175986
TR612132,State Farm - Quota Share 2024,Quota Share,Property,State Farm,Munich Re,USD,France,2024-01-01,2024-12-31,55844486.43587352,0.2406453646376171,0.03475514509220694,0.22018474143290678,0.0,0.7798152585670932,45390321.47201269,63042906.007048294,0.13998692207934244,79%-117%,0.0,0,Original Terms,10 years,0.46204462461906837,0.25717958843548244,0.7192242130545508
TR123441,Hartford - Quota Share 2024,Quota Share,Marine,Hartford,Lloyd's of London,USD,Canada,2024-01-01,2024-12-31,23274123.192634486,0.24124547690451548,0.04715449070122296,0.2456144338703492,0.0,0.7543855661296508,0.0,27461303.221049022,0.11200920975455936,Not Available,0.0,0,Cat Modeling,5 years,1.1424283543912168,0.28994646704344196,1.4323748214346588
TR212054,State Farm - Surplus 2024,Surplus,Health,State Farm,Hannover Re,USD,France,2024-01-01,2024-12-31,80015613.73636022,0.18772243240201933,0.017013252917020313,609798.655325979,6097986.55325979,0.0,73975119.38832775,86953413.84597786,0.16604201280519332,95%-115%,0.0,0,Original Terms,10 years,0.7888356665803014,0.3458341090281554,1.1346697756084567
TR777847,State Farm - Quota Share 2024,Quota Share,Health,State Farm,Munich Re,USD,United States,2024-01-01,2024-12-31,36857818.167741,0.3296781140506771,0.04417514267464034,0.625784251599891,0.0,0.37421574840010896,32862159.7130059,42438351.11134851,0.0,76%-118%,0.0,0,Exposure Rating,3 years,0.6118026615647327,0.3639941561284361,0.9757968176931688
